p/Pa,q
2119.167225677929,9.854542609472324
1993.4426285048312,9.782856321546946
1878.7465047679711,9.720089659557706
1767.3589230619814,9.648529272975615
1642.7371732325073,9.56802989101997
1530.2467441828944,9.496459819719158
1406.7278416970453,9.398324564984248
1285.414633898443,9.300208679686769
1170.7185101615826,9.175682566454592
1064.8451651737112,9.068879488470124
938.0177206569912,8.917778507085128
822.218749576507,8.757951594138289
705.3169311523989,8.580469438974761
584.0037233537967,8.323543536195467
464.89621024244167,7.996054772861687
350.2000865055812,7.536263067167926
235.50396276872056,6.7588513265105625
210.13847386537677,6.5292363305064
185.87583230565616,6.264339904224997
164.92173277680655,5.928890302107833
141.76193856071,5.549307436808288
116.39644965736574,5.1344140870753545
91.03096075402158,4.6136473923545545
66.76831919430128,3.978194258615609
45.81421966545162,3.3251246215348225
